id,content,author,timestamp,updatedAt
1781719965130,"College Avenue will be closed for parking from the front of our store north to the 1100 block. This will begin tomorrow through Monday. For those working on Friday and Sunday, I recommend parking on the east side of Vermont, on Fulton, or in front of the store.",6,2026-06-17T18:12:45.130Z,1781746840256
1780454859612,"When shelving, remember to face out any books with 4 or more copies on the shelf or reduce the quantity to 3 and put the remainder in overstock.",4,2026-06-03T02:47:39.612Z,1781746840256
1780454848582,"Linked forms are UPDATED :-) : The social media calendar, the NEW weekly returns schedule, and the Boba grid are above. Please take time to review and become familiar with each document.",6,2026-06-03T02:47:28.582Z,1781746840256
1780454241411,the rock broke in half :O,5,2026-06-03T02:37:21.411Z,1781746840256
